Week/Month,Years,HeightMaleL,HeightMaleM,HeightMaleS,HeightFemaleL,HeightFemaleM,HeightFemaleS,WeightMaleL,WeightMaleM,WeightMaleS,WeightFemaleL,WeightFemaleM,WeightFemaleS,BMIMaleL,BMIMaleM,BMIMaleS,BMIFemaleL,BMIFemaleM,BMIFemaleS,OFCMaleL,OFCMaleM,OFCMaleS,OFCFemaleL,OFCFemaleM,OFCFemaleS,Chart
22,1.833333333,1,86.0477,0.0341,1,84.604,0.03688,-0.0028,11.7504,0.11314,-0.2862,11.0608,0.1235,-0.6174,15.8412,0.07802,-0.5695,15.4787,0.08577,1,47.98,0.0281,1,46.89,0.0297,WHO2006
23,1.916666667,1,86.941,0.03445,1,85.5202,0.03711,-0.0083,11.9514,0.11369,-0.2903,11.2688,0.12369,-0.6328,15.7852,0.07786,-0.5846,15.438,0.0856,1,48.12,0.0282,1,47.04,0.0296,WHO2006
24,2,1,87.8161,0.03479,1,86.4153,0.03734,-0.0137,12.1515,0.11426,-0.2941,11.4775,0.1239,-0.6473,15.7356,0.07771,-0.5989,15.4052,0.08545,1,48.25,0.0282,1,47.18,0.0296,WHO2006
24,2,1,87.1161,0.03507,1,85.7153,0.03764,-0.0137,12.1515,0.11426,-0.2941,11.4775,0.1239,-0.6187,16.0189,0.07785,-0.5684,15.6881,0.08454,1,48.25,0.0282,1,47.18,0.0296,WHO2006
25,2.083333333,1,87.972,0.03542,1,86.5904,0.03786,-0.0189,12.3502,0.11485,-0.2975,11.6864,0.12414,-0.584,15.98,0.07792,-0.5684,15.659,0.08452,1,48.38,0.0283,1,47.32,0.0295,WHO2006
26,2.166666667,1,88.8065,0.03576,1,87.4462,0.03808,-0.024,12.5466,0.11544,-0.3005,11.8947,0.12441,-0.5497,15.9414,0.078,-0.5684,15.6308,0.08449,1,48.5,0.0283,1,47.45,0.0295,WHO2006
27,2.25,1,89.6197,0.0361,1,88.283,0.0383,-0.0289,12.7401,0.11604,-0.3032,12.1015,0.12472,-0.5166,15.9036,0.07808,-0.5684,15.6037,0.08446,1,48.62,0.0283,1,47.58,0.0295,WHO2006
28,2.333333333,1,90.412,0.03642,1,89.1004,0.03851,-0.0337,12.9303,0.11664,-0.3057,12.3059,0.12506,-0.485,15.8667,0.07818,-0.5684,15.5777,0.08444,1,48.73,0.0284,1,47.7,0.0294,WHO2006
29,2.416666667,1,91.1828,0.03674,1,89.8991,0.03872,-0.0385,13.1169,0.11723,-0.308,12.5073,0.12545,-0.4552,15.8306,0.07829,-0.5684,15.5523,0.08443,1,48.83,0.0284,1,47.82,0.0294,WHO2006
30,2.5,1,91.9327,0.03704,1,90.6797,0.03893,-0.0431,13.3,0.11781,-0.3101,12.7055,0.12587,-0.4274,15.7953,0.07841,-0.5684,15.5276,0.08444,1,48.94,0.0285,1,47.93,0.0293,WHO2006
31,2.583333333,1,92.6631,0.03733,1,91.443,0.03913,-0.0476,13.4798,0.11839,-0.312,12.9006,0.12633,-0.4016,15.7606,0.07854,-0.5684,15.5034,0.08448,1,49.03,0.0285,1,48.04,0.0293,WHO2006
32,2.666666667,1,93.3753,0.03761,1,92.1906,0.03933,-0.052,13.6567,0.11896,-0.3138,13.093,0.12683,-0.3782,15.7267,0.07867,-0.5684,15.4798,0.08455,1,49.13,0.0286,1,48.14,0.0293,WHO2006
33,2.75,1,94.0711,0.03787,1,92.9239,0.03952,-0.0564,13.8309,0.11953,-0.3155,13.2837,0.12737,-0.3572,15.6934,0.07882,-0.5684,15.4572,0.08467,1,49.22,0.0286,1,48.24,0.0292,WHO2006
34,2.833333333,1,94.7532,0.03812,1,93.6444,0.03971,-0.0606,14.0031,0.12008,-0.3171,13.4731,0.12794,-0.3388,15.661,0.07897,-0.5684,15.4356,0.08484,1,49.3,0.0286,1,48.33,0.0292,WHO2006
35,2.916666667,1,95.4236,0.03836,1,94.3533,0.03989,-0.0648,14.1736,0.12062,-0.3186,13.6618,0.12855,-0.3231,15.6294,0.07914,-0.5684,15.4155,0.08506,1,49.38,0.0287,1,48.42,0.0292,WHO2006
36,3,1,96.0835,0.03858,1,95.0515,0.04006,-0.0689,14.3429,0.12116,-0.3201,13.8503,0.12919,-0.3101,15.5988,0.07931,-0.5684,15.3968,0.08535,1,49.46,0.0287,1,48.51,0.0291,WHO2006
37,3.083333333,1,96.7337,0.03879,1,95.7399,0.04024,-0.0729,14.5113,0.12168,-0.3216,14.0385,0.12988,-0.3,15.5693,0.0795,-0.5684,15.3796,0.08569,1,49.54,0.0288,1,48.59,0.0291,WHO2006
38,3.166666667,1,97.3749,0.039,1,96.4187,0.04041,-0.0769,14.6791,0.1222,-0.323,14.2265,0.13059,-0.2927,15.541,0.07969,-0.5684,15.3638,0.08609,1,49.61,0.0288,1,48.67,0.0291,WHO2006
39,3.25,1,98.0073,0.03919,1,97.0885,0.04057,-0.0808,14.8466,0.12271,-0.3243,14.414,0.13135,-0.2884,15.514,0.0799,-0.5684,15.3493,0.08654,1,49.68,0.0288,1,48.75,0.029,WHO2006
40,3.333333333,1,98.631,0.03937,1,97.7493,0.04073,-0.0846,15.014,0.12322,-0.3257,14.601,0.13213,-0.2869,15.4885,0.08012,-0.5684,15.3358,0.08704,1,49.75,0.0289,1,48.82,0.029,WHO2006
41,3.416666667,1,99.2459,0.03954,1,98.4015,0.04089,-0.0883,15.1813,0.12373,-0.327,14.7873,0.13293,-0.2881,15.4645,0.08036,-0.5684,15.3233,0.08757,1,49.81,0.0289,1,48.89,0.029,WHO2006
42,3.5,1,99.8515,0.03971,1,99.0448,0.04105,-0.092,15.3486,0.12425,-0.3283,14.9727,0.13376,-0.2919,15.442,0.08061,-0.5684,15.3116,0.08813,1,49.87,0.0289,1,48.96,0.0289,WHO2006
43,3.583333333,1,100.4485,0.03986,1,99.6795,0.0412,-0.0957,15.5158,0.12478,-0.3296,15.1573,0.1346,-0.2981,15.421,0.08087,-0.5684,15.3007,0.08872,1,49.94,0.029,1,49.03,0.0289,WHO2006
44,3.666666667,1,101.0374,0.04002,1,100.3058,0.04135,-0.0993,15.6828,0.12531,-0.3309,15.341,0.13545,-0.3067,15.4013,0.08115,-0.5684,15.2905,0.08931,1,49.99,0.029,1,49.09,0.0289,WHO2006
45,3.75,1,101.6186,0.04016,1,100.9238,0.0415,-0.1028,15.8497,0.12586,-0.3322,15.524,0.1363,-0.3174,15.3827,0.08144,-0.5684,15.2814,0.08991,1,50.05,0.029,1,49.16,0.0289,WHO2006
46,3.833333333,1,102.1933,0.04031,1,101.5337,0.04164,-0.1063,16.0163,0.12643,-0.3335,15.7064,0.13716,-0.3303,15.3652,0.08174,-0.5684,15.2732,0.09051,1,50.11,0.0291,1,49.22,0.0288,WHO2006
47,3.916666667,1,102.7625,0.04045,1,102.136,0.04179,-0.1097,16.1827,0.127,-0.3348,15.8882,0.138,-0.3452,15.3485,0.08205,-0.5684,15.2661,0.0911,1,50.16,0.0291,1,49.28,0.0288,WHO2006
48,4,1,103.3273,0.04059,1,102.7312,0.04193,-0.1131,16.3489,0.12759,-0.3361,16.0697,0.13884,-0.3622,15.3326,0.08238,-0.5684,15.2602,0.09168,1,50.21,0.0291,1,49.33,0.0288,WHO2006
,4,1,102.49,0.04008,1,101.54,0.03967,-0.426,16.551,0.11649,-0.516,16.198,0.1244,-1.291,15.752,0.07684,-1.151,15.656,0.08728,1,52.215,0.02809,1,51.104,0.02342,British1990
,4.083,1,103.06,0.04021,1,102.12,0.03979,-0.437,16.7081,0.11682,-0.524,16.3661,0.12512,-1.309,15.727,0.07687,-1.157,15.639,0.0877,1,52.266,0.02813,1,51.156,0.02339,British1990
,4.167,1,103.64,0.04033,1,102.71,0.03992,-0.448,16.8689,0.11717,-0.532,16.5359,0.12584,-1.325,15.704,0.07692,-1.163,15.622,0.08814,1,52.315,0.02818,1,51.208,0.02336,British1990
,4.25,1,104.22,0.04045,1,103.31,0.04004,-0.459,17.033,0.11752,-0.539,16.706,0.12657,-1.342,15.682,0.077,-1.169,15.605,0.0886,1,52.362,0.02822,1,51.258,0.02332,British1990
,4.333,1,104.8,0.04057,1,103.91,0.04016,-0.471,17.2011,0.11788,-0.547,16.8781,0.12731,-1.359,15.662,0.07709,-1.175,15.589,0.08906,1,52.409,0.02827,1,51.309,0.02329,British1990
,4.417,1,105.4,0.04068,1,104.53,0.04028,-0.482,17.3729,0.11826,-0.555,17.0519,0.12806,-1.375,15.644,0.0772,-1.181,15.573,0.08954,1,52.455,0.02831,1,51.358,0.02326,British1990
,4.5,1,106,0.04078,1,105.15,0.04041,-0.494,17.548,0.11864,-0.563,17.227,0.12881,-1.391,15.626,0.07733,-1.187,15.557,0.09004,1,52.499,0.02835,1,51.406,0.02323,British1990
,4.583,1,106.6,0.04089,1,105.77,0.04053,-0.506,17.7253,0.11903,-0.57,17.4041,0.12957,-1.407,15.61,0.07748,-1.193,15.542,0.09054,1,52.543,0.02839,1,51.454,0.02321,British1990
,4.667,1,107.21,0.04098,1,106.4,0.04065,-0.518,17.9043,0.11942,-0.578,17.5819,0.13033,-1.422,15.595,0.07765,-1.198,15.528,0.09106,1,52.585,0.02842,1,51.501,0.02318,British1990
,4.75,1,107.81,0.04107,1,107.02,0.04077,-0.53,18.086,0.11983,-0.585,17.761,0.1311,-1.437,15.582,0.07784,-1.204,15.515,0.0916,1,52.626,0.02846,1,51.546,0.02316,British1990
,4.833,1,108.41,0.04115,1,107.64,0.04088,-0.543,18.2673,0.12025,-0.592,17.9401,0.13186,-1.452,15.569,0.07806,-1.209,15.503,0.09214,1,52.667,0.02849,1,51.591,0.02314,British1990
,4.917,1,109.01,0.04123,1,108.26,0.04099,-0.555,18.4507,0.12067,-0.6,18.1198,0.13264,-1.467,15.557,0.07829,-1.215,15.492,0.0927,1,52.708,0.02852,1,51.637,0.02311,British1990
,5,1,109.59,0.04131,1,108.86,0.0411,-0.567,18.633,0.1211,-0.607,18.299,0.1334,-1.481,15.547,0.07856,-1.22,15.483,0.09326,1,52.747,0.02855,1,51.681,0.02309,British1990
,5.083,1,110.16,0.04137,1,109.45,0.0412,-0.579,18.8143,0.12154,-0.614,18.4791,0.13416,-1.495,15.538,0.07884,-1.225,15.475,0.09384,1,52.786,0.02858,1,51.725,0.02307,British1990
,5.167,1,110.73,0.04144,1,110.03,0.0413,-0.591,18.9942,0.12198,-0.621,18.6581,0.13493,-1.509,15.53,0.07915,-1.231,15.468,0.09443,1,52.823,0.02861,1,51.768,0.02306,British1990
,5.25,1,111.28,0.04149,1,110.6,0.0414,-0.603,19.172,0.12243,-0.627,18.837,0.13569,-1.523,15.523,0.07948,-1.236,15.463,0.09503,1,52.86,0.02864,1,51.81,0.02304,British1990
,5.333,1,111.81,0.04155,1,111.16,0.04149,-0.615,19.349,0.12289,-0.634,19.017,0.13643,-1.536,15.517,0.07983,-1.241,15.46,0.09563,1,52.896,0.02867,1,51.852,0.02303,British1990
,5.417,1,112.35,0.0416,1,111.71,0.04157,-0.627,19.5253,0.12335,-0.64,19.1967,0.13719,-1.549,15.511,0.0802,-1.245,15.457,0.09624,1,52.932,0.02869,1,51.893,0.02301,British1990
,5.5,1,112.87,0.04165,1,112.24,0.04165,-0.639,19.701,0.12383,-0.647,19.377,0.13794,-1.562,15.507,0.08059,-1.25,15.457,0.09686,1,52.967,0.02872,1,51.934,0.023,British1990
,5.583,1,113.38,0.0417,1,112.77,0.04173,-0.651,19.8767,0.12432,-0.653,19.5581,0.13868,-1.575,15.503,0.081,-1.255,15.458,0.09749,1,53.002,0.02874,1,51.975,0.02299,British1990
,5.667,1,113.9,0.04174,1,113.29,0.0418,-0.663,20.0523,0.12482,-0.659,19.7404,0.13942,-1.587,15.5,0.08143,-1.26,15.461,0.09812,1,53.036,0.02876,1,52.014,0.02298,British1990
,5.75,1,114.41,0.04178,1,113.81,0.04187,-0.675,20.229,0.12534,-0.665,19.925,0.14016,-1.599,15.498,0.08189,-1.264,15.465,0.09875,1,53.07,0.02878,1,52.053,0.02297,British1990
,5.833,1,114.92,0.04182,1,114.32,0.04194,-0.687,20.4077,0.12587,-0.672,20.11,0.1409,-1.611,15.497,0.08235,-1.269,15.47,0.0994,1,53.103,0.0288,1,52.092,0.02296,British1990
,5.917,1,115.43,0.04186,1,114.82,0.042,-0.699,20.5867,0.12642,-0.678,20.2972,0.14165,-1.622,15.497,0.08284,-1.273,15.477,0.10004,1,53.136,0.02883,1,52.131,0.02295,British1990
,6,1,115.93,0.0419,1,115.33,0.04206,-0.711,20.767,0.12699,-0.684,20.486,0.14239,-1.634,15.498,0.08334,-1.277,15.485,0.10069,1,53.168,0.02884,1,52.169,0.02294,British1990
