WHO child growth standards - sets 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Length/Height-for-age,,,,,,Weight-for-age,,,,,,BMI-for-age,,,,,,Head Circumference,,,,,,Arm Circumference,,,,,,Subscapular Skinfold,,,,,,Triceps Skinfold,,,,,
,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,
Week/Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
38,3.166666667,1,97.3749,0.039,1,96.4187,0.04041,-0.0769,14.6791,0.1222,-0.323,14.2265,0.13059,-0.2927,15.541,0.07969,-0.5684,15.3638,0.08609,1.00,49.6093,0.0288,1.00,48.6722,0.0291,-0.22,15.8101,0.0801,-0.17,15.7483,0.0845,-0.81,5.7125,0.1859,-0.78,6.0637,0.2077,-0.24,7.8096,0.2191,-0.22,8.3019,0.2261
39,3.25,1,98.0073,0.03919,1,97.0885,0.04057,-0.0808,14.8466,0.12271,-0.3243,14.414,0.13135,-0.2884,15.514,0.0799,-0.5684,15.3493,0.08654,1.00,49.6791,0.0288,1.00,48.7489,0.0290,-0.23,15.845,0.0803,-0.17,15.7997,0.0849,-0.82,5.6971,0.1862,-0.79,6.0633,0.2090,-0.24,7.808,0.2205,-0.22,8.3294,0.2277
40,3.333333333,1,98.631,0.03937,1,97.7493,0.04073,-0.0846,15.014,0.12322,-0.3257,14.601,0.13213,-0.2869,15.4885,0.08012,-0.5684,15.3358,0.08704,1.00,49.7465,0.0289,1.00,48.8228,0.0290,-0.24,15.8793,0.0806,-0.17,15.8509,0.0853,-0.83,5.6815,0.1865,-0.80,6.0632,0.2102,-0.25,7.8051,0.2219,-0.23,8.356,0.2294
41,3.416666667,1,99.2459,0.03954,1,98.4015,0.04089,-0.0883,15.1813,0.12373,-0.327,14.7873,0.13293,-0.2881,15.4645,0.08036,-0.5684,15.3233,0.08757,1.00,49.8116,0.0289,1.00,48.8941,0.0290,-0.25,15.9132,0.0809,-0.17,15.9016,0.0856,-0.84,5.6658,0.1868,-0.80,6.0632,0.2115,-0.25,7.8009,0.2234,-0.23,8.3818,0.2310
42,3.5,1,99.8515,0.03971,1,99.0448,0.04105,-0.092,15.3486,0.12425,-0.3283,14.9727,0.13376,-0.2919,15.442,0.08061,-0.5684,15.3116,0.08813,1.00,49.8745,0.0289,1.00,48.9629,0.0289,-0.26,15.9467,0.0811,-0.17,15.9518,0.0860,-0.85,5.65,0.1872,-0.81,6.0634,0.2127,-0.25,7.7954,0.2250,-0.23,8.4068,0.2326
43,3.583333333,1,100.4485,0.03986,1,99.6795,0.0412,-0.0957,15.5158,0.12478,-0.3296,15.1573,0.1346,-0.2981,15.421,0.08087,-0.5684,15.3007,0.08872,1.00,49.9354,0.0290,1.00,49.0294,0.0289,-0.26,15.9797,0.0814,-0.17,16.0016,0.0864,-0.86,5.6339,0.1875,-0.82,6.0637,0.2140,-0.26,7.7885,0.2265,-0.23,8.4311,0.2343
44,3.666666667,1,101.0374,0.04002,1,100.3058,0.04135,-0.0993,15.6828,0.12531,-0.3309,15.341,0.13545,-0.3067,15.4013,0.08115,-0.5684,15.2905,0.08931,1.00,49.9942,0.0290,1.00,49.0937,0.0289,-0.27,16.0124,0.0817,-0.17,16.0509,0.0868,-0.87,5.6174,0.1878,-0.82,6.0641,0.2152,-0.26,7.7804,0.2281,-0.23,8.455,0.2359
45,3.75,1,101.6186,0.04016,1,100.9238,0.0415,-0.1028,15.8497,0.12586,-0.3322,15.524,0.1363,-0.3174,15.3827,0.08144,-0.5684,15.2814,0.08991,1.00,50.0512,0.0290,1.00,49.156,0.0289,-0.28,16.0447,0.0819,-0.17,16.1001,0.0872,-0.88,5.6006,0.1881,-0.83,6.0647,0.2164,-0.26,7.771,0.2298,-0.23,8.4786,0.2375
46,3.833333333,1,102.1933,0.04031,1,101.5337,0.04164,-0.1063,16.0163,0.12643,-0.3335,15.7064,0.13716,-0.3303,15.3652,0.08174,-0.5684,15.2732,0.09051,1.00,50.1064,0.0291,1.00,49.2164,0.0288,-0.29,16.0767,0.0822,-0.17,16.1491,0.0877,-0.89,5.5834,0.1884,-0.83,6.0653,0.2176,-0.27,7.7605,0.2314,-0.23,8.5019,0.2390
47,3.916666667,1,102.7625,0.04045,1,102.136,0.04179,-0.1097,16.1827,0.127,-0.3348,15.8882,0.138,-0.3452,15.3485,0.08205,-0.5684,15.2661,0.0911,1.00,50.1598,0.0291,1.00,49.2751,0.0288,-0.30,16.1085,0.0825,-0.17,16.1983,0.0881,-0.90,5.5659,0.1887,-0.84,6.0661,0.2188,-0.27,7.7489,0.2331,-0.23,8.525,0.2406
