WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
143,11.92,1,148.5478,0.0475,1,150.7394,0.04529,,,,,,,-1.778,17.4799,0.11487,-1.4065,17.9306,0.13099
144,12.00,1,149.0807,0.04753,1,151.2327,0.04523,,,,,,,-1.7751,17.5334,0.11522,-1.4006,17.9966,0.13129
145,12.08,1,149.6212,0.04755,1,151.7182,0.04516,,,,,,,-1.7719,17.5877,0.11556,-1.3945,18.063,0.13158
146,12.17,1,150.1694,0.04758,1,152.1951,0.0451,,,,,,,-1.7684,17.6427,0.1159,-1.3883,18.1297,0.13186
147,12.25,1,150.7256,0.04759,1,152.6628,0.04503,,,,,,,-1.7645,17.6985,0.11623,-1.3819,18.1967,0.13214
148,12.33,1,151.2899,0.04761,1,153.1206,0.04497,,,,,,,-1.7604,17.7551,0.11656,-1.3755,18.2639,0.13241
149,12.42,1,151.8623,0.04762,1,153.5678,0.0449,,,,,,,-1.7559,17.8124,0.11688,-1.3689,18.3312,0.13268
150,12.50,1,152.4425,0.04763,1,154.0041,0.04483,,,,,,,-1.7511,17.8704,0.1172,-1.3621,18.3986,0.13295
151,12.58,1,153.0298,0.04763,1,154.429,0.04476,,,,,,,-1.7461,17.9292,0.11751,-1.3553,18.466,0.13321
152,12.67,1,153.6234,0.04764,1,154.8423,0.04468,,,,,,,-1.7408,17.9887,0.11781,-1.3483,18.5333,0.13347
153,12.75,1,154.2223,0.04763,1,155.2437,0.04461,,,,,,,-1.7352,18.0488,0.11811,-1.3413,18.6006,0.13372
154,12.83,1,154.8258,0.04763,1,155.633,0.04454,,,,,,,-1.7293,18.1096,0.11841,-1.3341,18.6677,0.13397
155,12.92,1,155.4329,0.04762,1,156.0101,0.04446,,,,,,,-1.7232,18.171,0.11869,-1.3269,18.7346,0.13421
156,13.00,1,156.0426,0.0476,1,156.3748,0.04439,,,,,,,-1.7168,18.233,0.11898,-1.3195,18.8012,0.13445
157,13.08,1,156.6539,0.04758,1,156.7269,0.04431,,,,,,,-1.7102,18.2955,0.11925,-1.3121,18.8675,0.13469
158,13.17,1,157.266,0.04756,1,157.0666,0.04423,,,,,,,-1.7033,18.3586,0.11952,-1.3046,18.9335,0.13492
159,13.25,1,157.8775,0.04754,1,157.3936,0.04415,,,,,,,-1.6962,18.4221,0.11979,-1.297,18.9991,0.13514
160,13.33,1,158.4871,0.04751,1,157.7082,0.04408,,,,,,,-1.6888,18.486,0.12005,-1.2894,19.0642,0.13537
161,13.42,1,159.0937,0.04747,1,158.0102,0.044,,,,,,,-1.6811,18.5502,0.1203,-1.2816,19.1289,0.13559
162,13.50,1,159.6962,0.04744,1,158.2997,0.04392,,,,,,,-1.6732,18.6148,0.12055,-1.2739,19.1931,0.1358
163,13.58,1,160.2939,0.0474,1,158.5771,0.04384,,,,,,,-1.6651,18.6795,0.12079,-1.2661,19.2567,0.13601
164,13.67,1,160.8861,0.04735,1,158.8425,0.04376,,,,,,,-1.6568,18.7445,0.12102,-1.2583,19.3197,0.13622
165,13.75,1,161.472,0.0473,1,159.0961,0.04369,,,,,,,-1.6482,18.8095,0.12125,-1.2504,19.382,0.13642
166,13.83,1,162.0505,0.04725,1,159.3382,0.04361,,,,,,,-1.6394,18.8746,0.12148,-1.2425,19.4437,0.13662
167,13.92,1,162.6207,0.0472,1,159.5691,0.04353,,,,,,,-1.6304,18.9398,0.1217,-1.2345,19.5045,0.13681
168,14.00,1,163.1816,0.04714,1,159.789,0.04345,,,,,,,-1.6211,19.005,0.12191,-1.2266,19.5647,0.137
169,14.08,1,163.7321,0.04707,1,159.9983,0.04337,,,,,,,-1.6116,19.0701,0.12212,-1.2186,19.624,0.13719
170,14.17,1,164.2717,0.04701,1,160.1971,0.0433,,,,,,,-1.602,19.1351,0.12233,-1.2107,19.6824,0.13738
171,14.25,1,164.7994,0.04694,1,160.3857,0.04322,,,,,,,-1.5921,19.2,0.12253,-1.2027,19.74,0.13756
172,14.33,1,165.3145,0.04687,1,160.5643,0.04314,,,,,,,-1.5821,19.2648,0.12272,-1.1947,19.7966,0.13774
173,14.42,1,165.8165,0.04679,1,160.7332,0.04307,,,,,,,-1.5719,19.3294,0.12291,-1.1867,19.8523,0.13791
174,14.50,1,166.305,0.04671,1,160.8927,0.04299,,,,,,,-1.5615,19.3937,0.1231,-1.1788,19.907,0.13808
175,14.58,1,166.7799,0.04663,1,161.043,0.04292,,,,,,,-1.551,19.4578,0.12328,-1.1708,19.9607,0.13825
176,14.67,1,167.2415,0.04655,1,161.1845,0.04284,,,,,,,-1.5403,19.5217,0.12346,-1.1629,20.0133,0.13841
177,14.75,1,167.6899,0.04646,1,161.3176,0.04277,,,,,,,-1.5294,19.5853,0.12363,-1.1549,20.0648,0.13858
178,14.83,1,168.1255,0.04637,1,161.4425,0.0427,,,,,,,-1.5185,19.6486,0.1238,-1.147,20.1152,0.13873
179,14.92,1,168.5482,0.04628,1,161.5596,0.04263,,,,,,,-1.5074,19.7117,0.12396,-1.139,20.1644,0.13889
180,15.00,1,168.958,0.04619,1,161.6692,0.04255,,,,,,,-1.4961,19.7744,0.12412,-1.1311,20.2125,0.13904
181,15.08,1,169.3549,0.04609,1,161.7717,0.04248,,,,,,,-1.4848,19.8367,0.12428,-1.1232,20.2595,0.1392
182,15.17,1,169.7389,0.04599,1,161.8673,0.04241,,,,,,,-1.4733,19.8987,0.12443,-1.1153,20.3053,0.13934
183,15.25,1,170.1099,0.04589,1,161.9564,0.04235,,,,,,,-1.4617,19.9603,0.12458,-1.1074,20.3499,0.13949
184,15.33,1,170.468,0.04579,1,162.0393,0.04228,,,,,,,-1.45,20.0215,0.12473,-1.0996,20.3934,0.13963
185,15.42,1,170.8136,0.04569,1,162.1164,0.04221,,,,,,,-1.4382,20.0823,0.12487,-1.0917,20.4357,0.13977
186,15.50,1,171.1468,0.04559,1,162.188,0.04214,,,,,,,-1.4263,20.1427,0.12501,-1.0838,20.4769,0.13991
187,15.58,1,171.468,0.04548,1,162.2542,0.04208,,,,,,,-1.4143,20.2026,0.12514,-1.076,20.517,0.14005
188,15.67,1,171.7773,0.04538,1,162.3154,0.04201,,,,,,,-1.4022,20.2621,0.12528,-1.0681,20.556,0.14018
